"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","education_level","household_size","monthly_income_bdt","land_ownership","climate_shocks_experienced","crop_loss_last3yrs","livelihood_disrupted","years_in_programme","attended_climate_training","adaptation_practices_score_baseline","adaptation_practices_score_endline","resilience_index_baseline","resilience_index_endline","access_early_warning_baseline","access_early_warning_endline","women_decision_making_baseline","women_decision_making_endline","livelihood_sources_baseline","livelihood_sources_endline","wcrc_functionality","satisfaction_score","savings_monthly_bdt","food_security","climate_knowledge_score"
"COR-0099",2024-10-18,"Bandarban","Ruma","Village Women Group (VWG)",38,"Female","Chakma","Secondary (Class 6-10)",4,8321,"No","Landslide","Yes","Yes",3,"Yes",1,4,44,55,"No","Yes","Rarely","Often",3,1,NA,2,0,"Food Secure",11
"COR-0100",2024-10-28,"Khagrachari","Mahalchhari","Local Government Representative",46,"Male","Tanchangya","Secondary (Class 6-10)",5,13998,"No","Erratic Rainfall","Yes","Yes",2,"Yes",4,5,42,49,"No","No","Sometimes","Sometimes",1,4,NA,5,0,"Mildly Food Insecure",19
"COR-0101",2024-10-25,"Rangamati","Kaptai","Youth Group",24,"Female","Tripura","SSC/Equivalent",6,15319,"Yes","Flash Flood","Yes","Yes",4,"Yes",4,6,46,64,"Yes","Yes","Rarely","Rarely",1,3,NA,4,2025,"Mildly Food Insecure",12
"COR-0102",2024-09-29,"Khagrachari","Panchhari","Local Government Representative",40,"Female","Khyang","HSC/Equivalent",5,9158,"No","Drought","Yes","Yes",2,"No",4,5,59,64,"No","No","Rarely","Never",2,2,NA,5,1769,"Mildly Food Insecure",19
"COR-0103",2024-10-05,"Rangamati","Baghaichhari","Women's Climate Resilience Committee (WCRC)",34,"Female","Bawm","HSC/Equivalent",4,6189,"No","Flash Flood","Yes","Yes",1,"Yes",4,5,28,33,"No","No","Sometimes","Rarely",2,2,5,4,2920,"Moderately Food Insecure",11
"COR-0104",2024-10-25,"Khagrachari","Lakshmichhari","Village Women Group (VWG)",29,"Female","Bengali","No formal education",6,3000,"Yes","Drought","Yes","Yes",1,"Yes",3,4,37,43,"No","Yes","Sometimes","Often",2,2,NA,4,2114,"Food Secure",13
"COR-0105",2024-09-18,"Rangamati","Naniarchar","Local Government Representative",27,"Female","Tripura","No formal education",4,14110,"Yes","Multiple","Yes","Yes",4,"Yes",5,7,39,52,"Yes","No","Often","Never",2,2,NA,3,0,"Severely Food Insecure",15
"COR-0106",2024-11-13,"Bandarban","Thanchi","Village Women Group (VWG)",50,"Female","Tripura","Secondary (Class 6-10)",6,14172,"Yes","Multiple","Yes","No",3,"Yes",0,3,40,45,"No","Yes","Always","Often",1,3,NA,3,0,"Food Secure",10
"COR-0107",2024-10-11,"Rangamati","Baghaichhari","Women's Climate Resilience Committee (WCRC)",31,"Female","Khyang","Primary (Class 1-5)",7,16103,"Yes","Landslide","Yes","Yes",4,"Yes",2,5,28,39,"Yes","No","Rarely","Often",3,4,2,3,1720,"Food Secure",20
"COR-0108",2024-11-05,"Rangamati","Rajasthali","Women's Climate Resilience Committee (WCRC)",42,"Female","Pangkhua","Secondary (Class 6-10)",5,14802,"No","Landslide","Yes","No",3,"No",3,3,33,42,"No","No","Sometimes","Always",1,3,4,4,676,"Moderately Food Insecure",11
"COR-0109",2024-11-08,"Rangamati","Kaptai","Village Women Group (VWG)",45,"Female","Khumi","Primary (Class 1-5)",6,15611,"No","Erratic Rainfall","Yes","No",4,"No",6,10,35,64,"No","Yes","Sometimes","Never",2,4,NA,4,1332,"Food Secure",15
"COR-0110",2024-10-05,"Bandarban","Alikadam","Village Women Group (VWG)",45,"Female","Bengali","HSC/Equivalent",5,10379,"Yes","Landslide","Yes","No",3,"No",2,4,39,55,"No","Yes","Sometimes","Rarely",3,1,NA,4,0,"Food Secure",9
"COR-0111",2024-10-26,"Rangamati","Barkal","Youth Group",28,"Male","Marma","HSC/Equivalent",4,9582,"No","Drought","Yes","Yes",1,"Yes",3,4,43,47,"No","No","Never","Often",1,2,NA,5,2108,"Food Secure",14
"COR-0112",2024-09-14,"Khagrachari","Khagrachari Sadar","Village Women Group (VWG)",25,"Female","Chakma","Secondary (Class 6-10)",4,8740,"Yes","Erratic Rainfall","Yes","Yes",2,"Yes",6,8,37,43,"No","No","Rarely","Sometimes",1,3,NA,4,1709,"Moderately Food Insecure",12
"COR-0113",2024-09-13,"Bandarban","Bandarban Sadar","Local Government Representative",53,"Female","Marma","Primary (Class 1-5)",6,7701,"Yes","Landslide","No","No",4,"No",3,4,41,66,"No","Yes","Often","Sometimes",1,4,NA,3,1635,"Food Secure",18
"COR-0114",2024-09-18,"Rangamati","Kaptai","Village Women Group (VWG)",46,"Female","Pangkhua","SSC/Equivalent",7,14371,"Yes","Multiple","Yes","No",3,"No",5,7,14,25,"No","Yes","Never","Rarely",3,2,NA,5,0,"Food Secure",17
"COR-0115",2024-09-02,"Khagrachari","Khagrachari Sadar","Village Women Group (VWG)",46,"Female","Chakma","Secondary (Class 6-10)",4,16625,"No","Drought","No","Yes",1,"No",2,3,18,21,"Yes","Yes","Never","Often",3,2,NA,2,0,"Food Secure",16
"COR-0116",2024-10-05,"Bandarban","Alikadam","Women's Climate Resilience Committee (WCRC)",48,"Female","Marma","Secondary (Class 6-10)",5,10165,"Yes","Landslide","Yes","Yes",1,"No",4,4,44,48,"No","No","Often","Rarely",3,2,3,5,0,"Mildly Food Insecure",9
"COR-0117",2024-11-04,"Bandarban","Thanchi","Women's Climate Resilience Committee (WCRC)",37,"Female","Marma","Primary (Class 1-5)",5,12884,"No","Multiple","Yes","Yes",1,"No",3,4,16,20,"Yes","No","Sometimes","Often",1,4,4,4,289,"Mildly Food Insecure",10
"COR-0118",2024-09-24,"Rangamati","Rajasthali","Village Women Group (VWG)",39,"Female","Marma","Primary (Class 1-5)",4,15382,"Yes","Erratic Rainfall","Yes","Yes",1,"Yes",2,3,54,55,"Yes","No","Never","Always",2,2,NA,4,1526,"Mildly Food Insecure",15
"COR-0119",2024-09-10,"Khagrachari","Panchhari","Village Women Group (VWG)",44,"Female","Chakma","No formal education",5,6716,"Yes","Multiple","Yes","No",4,"Yes",6,10,48,58,"No","No","Often","Always",4,2,NA,3,0,"Moderately Food Insecure",11
"COR-0120",2024-10-10,"Rangamati","Kaptai","Women's Climate Resilience Committee (WCRC)",55,"Female","Chakma","Primary (Class 1-5)",5,11224,"No","Flash Flood","Yes","Yes",2,"No",3,4,42,48,"No","No","Rarely","Rarely",1,3,4,3,1547,"Food Secure",18
"COR-0121",2024-10-12,"Bandarban","Alikadam","Village Women Group (VWG)",54,"Female","Tripura","Primary (Class 1-5)",3,8146,"Yes","Flash Flood","Yes","No",2,"Yes",4,5,28,31,"No","Yes","Rarely","Often",3,5,NA,4,0,"Food Secure",9
"COR-0122",2024-10-09,"Rangamati","Barkal","Youth Group",22,"Male","Chakma","Secondary (Class 6-10)",6,8921,"Yes","Erratic Rainfall","No","Yes",3,"No",3,4,37,45,"No","Yes","Sometimes","Sometimes",1,2,NA,3,2414,"Mildly Food Insecure",17
"COR-0123",2024-09-03,"Bandarban","Thanchi","Village Women Group (VWG)",24,"Female","Bawm","No formal education",4,7545,"No","Erratic Rainfall","No","Yes",3,"No",3,6,16,34,"No","Yes","Sometimes","Always",1,1,NA,2,0,"Moderately Food Insecure",13
"COR-0124",2024-11-05,"Rangamati","Naniarchar","Women's Climate Resilience Committee (WCRC)",28,"Female","Khumi","No formal education",5,13644,"Yes","Multiple","Yes","Yes",4,"Yes",4,6,28,62,"No","Yes","Always","Often",1,2,3,4,2205,"Mildly Food Insecure",12
"COR-0125",2024-09-11,"Bandarban","Rowangchhari","Village Women Group (VWG)",54,"Female","Khumi","Primary (Class 1-5)",5,7648,"No","Flash Flood","Yes","No",4,"No",3,7,50,58,"Yes","Yes","Never","Often",5,1,NA,5,143,"Severely Food Insecure",17
"COR-0126",2024-11-28,"Rangamati","Kaptai","Village Women Group (VWG)",32,"Female","Marma","Primary (Class 1-5)",4,10665,"Yes","Flash Flood","Yes","No",1,"Yes",3,4,35,42,"No","Yes","Rarely","Always",2,2,NA,4,0,"Food Secure",13
"COR-0127",2024-11-27,"Khagrachari","Dighinala","Women's Climate Resilience Committee (WCRC)",32,"Female","Bawm","Secondary (Class 6-10)",6,14355,"Yes","Flash Flood","Yes","Yes",2,"No",4,4,49,53,"No","Yes","Rarely","Sometimes",2,1,3,3,1702,"Moderately Food Insecure",17
"COR-0128",2024-10-10,"Bandarban","Bandarban Sadar","Women's Climate Resilience Committee (WCRC)",46,"Female","Marma","HSC/Equivalent",5,9553,"No","Flash Flood","No","No",3,"Yes",2,5,44,54,"No","Yes","Rarely","Sometimes",1,3,3,5,1943,"Food Secure",10
"COR-0129",2024-09-12,"Bandarban","Thanchi","Youth Group",20,"Male","Bengali","SSC/Equivalent",3,11055,"No","Flash Flood","No","Yes",3,"Yes",3,5,37,47,"No","Yes","Rarely","Sometimes",1,4,NA,4,2344,"Food Secure",15
"COR-0130",2024-11-17,"Bandarban","Alikadam","Village Women Group (VWG)",47,"Female","Marma","HSC/Equivalent",5,10438,"No","Multiple","Yes","No",1,"Yes",3,4,40,40,"No","Yes","Never","Never",3,1,NA,4,1437,"Moderately Food Insecure",13
"COR-0131",2024-11-15,"Khagrachari","Panchhari","Women's Climate Resilience Committee (WCRC)",38,"Female","Chakma","HSC/Equivalent",4,10809,"Yes","Landslide","No","No",3,"No",2,3,31,41,"No","Yes","Sometimes","Often",1,3,4,2,2286,"Mildly Food Insecure",12
"COR-0132",2024-09-28,"Rangamati","Rajasthali","Village Women Group (VWG)",40,"Female","Marma","Primary (Class 1-5)",4,20843,"Yes","Erratic Rainfall","Yes","No",3,"Yes",3,5,53,71,"No","Yes","Rarely","Often",5,3,NA,4,1047,"Severely Food Insecure",15
"COR-0133",2024-11-15,"Rangamati","Kaptai","Community Stakeholder",51,"Male","Bengali","Secondary (Class 6-10)",4,7810,"No","Erratic Rainfall","Yes","Yes",4,"No",3,6,24,34,"No","No","Sometimes","Rarely",5,3,NA,4,0,"Food Secure",15
"COR-0134",2024-10-03,"Khagrachari","Dighinala","Local Government Representative",38,"Female","Tripura","No formal education",3,13209,"No","Erratic Rainfall","No","Yes",4,"Yes",5,7,11,29,"No","Yes","Never","Often",2,2,NA,2,0,"Mildly Food Insecure",9
"COR-0135",2024-10-04,"Bandarban","Rowangchhari","Women's Climate Resilience Committee (WCRC)",32,"Female","Marma","SSC/Equivalent",4,14447,"Yes","Flash Flood","Yes","Yes",4,"No",1,4,27,49,"No","Yes","Sometimes","Never",2,2,4,3,1438,"Mildly Food Insecure",12
"COR-0136",2024-10-29,"Khagrachari","Lakshmichhari","Community Stakeholder",41,"Female","Tripura","Graduate and above",5,7105,"Yes","Landslide","No","Yes",2,"No",5,6,61,70,"No","Yes","Never","Always",3,3,NA,4,1103,"Mildly Food Insecure",9
"COR-0137",2024-09-06,"Khagrachari","Khagrachari Sadar","Village Women Group (VWG)",34,"Female","Tripura","Primary (Class 1-5)",4,14159,"No","Drought","No","Yes",3,"Yes",4,7,35,53,"Yes","Yes","Sometimes","Never",2,1,NA,5,0,"Food Secure",13
"COR-0138",2024-11-28,"Rangamati","Rajasthali","Village Women Group (VWG)",18,"Female","Chakma","Secondary (Class 6-10)",5,11991,"Yes","Multiple","Yes","Yes",1,"Yes",1,2,10,14,"No","Yes","Sometimes","Sometimes",5,2,NA,5,2132,"Mildly Food Insecure",18
"COR-0139",2024-11-06,"Rangamati","Barkal","Women's Climate Resilience Committee (WCRC)",45,"Female","Chakma","Secondary (Class 6-10)",4,10765,"No","Erratic Rainfall","Yes","Yes",1,"Yes",3,4,32,35,"No","Yes","Rarely","Sometimes",3,3,3,2,0,"Severely Food Insecure",12
"COR-0140",2024-11-26,"Khagrachari","Dighinala","Village Women Group (VWG)",41,"Female","Bawm","Primary (Class 1-5)",4,18588,"Yes","Landslide","No","No",4,"No",2,7,30,44,"No","Yes","Often","Never",1,2,NA,3,1728,"Food Secure",14
"COR-0141",2024-10-31,"Bandarban","Thanchi","Community Stakeholder",38,"Female","Tripura","HSC/Equivalent",6,11139,"No","Drought","Yes","No",3,"Yes",2,4,34,34,"Yes","Yes","Sometimes","Never",1,3,NA,1,0,"Severely Food Insecure",15
"COR-0142",2024-09-21,"Rangamati","Kaptai","Village Women Group (VWG)",22,"Female","Tanchangya","SSC/Equivalent",3,13321,"No","Erratic Rainfall","No","Yes",3,"No",2,4,60,65,"No","Yes","Often","Often",1,4,NA,2,0,"Food Secure",18
"COR-0143",2024-11-27,"Rangamati","Barkal","Youth Group",18,"Female","Chakma","No formal education",8,7728,"Yes","Flash Flood","No","Yes",3,"Yes",2,3,34,42,"No","No","Always","Often",1,2,NA,4,0,"Food Secure",12
"COR-0144",2024-10-10,"Khagrachari","Dighinala","Women's Climate Resilience Committee (WCRC)",46,"Female","Tanchangya","Primary (Class 1-5)",6,9311,"Yes","Landslide","No","Yes",3,"Yes",2,5,49,67,"No","Yes","Rarely","Always",4,1,3,4,1697,"Severely Food Insecure",12
"COR-0145",2024-09-25,"Khagrachari","Panchhari","Women's Climate Resilience Committee (WCRC)",36,"Female","Tanchangya","Primary (Class 1-5)",4,9487,"No","Drought","Yes","No",2,"Yes",4,6,24,32,"No","No","Often","Rarely",1,3,2,5,1686,"Food Secure",8
"COR-0146",2024-09-08,"Bandarban","Rowangchhari","Village Women Group (VWG)",45,"Female","Khumi","No formal education",6,11079,"No","Multiple","Yes","No",4,"Yes",3,5,45,64,"No","Yes","Sometimes","Often",1,3,NA,3,2082,"Mildly Food Insecure",19
"COR-0147",2024-11-04,"Khagrachari","Dighinala","Village Women Group (VWG)",55,"Female","Chakma","HSC/Equivalent",4,13135,"No","Multiple","Yes","No",3,"Yes",6,7,16,26,"No","Yes","Never","Sometimes",2,4,NA,4,2065,"Food Secure",15
"COR-0148",2024-10-09,"Rangamati","Rajasthali","Youth Group",21,"Female","Chakma","Primary (Class 1-5)",6,10810,"Yes","Drought","Yes","No",2,"Yes",4,6,24,31,"Yes","No","Always","Sometimes",2,5,NA,1,2345,"Food Secure",12
"COR-0149",2024-10-11,"Khagrachari","Mahalchhari","Local Government Representative",36,"Female","Pangkhua","No formal education",7,13699,"No","Flash Flood","Yes","Yes",3,"Yes",2,4,34,42,"Yes","No","Sometimes","Never",2,1,NA,2,795,"Food Secure",6
"COR-0150",2024-09-18,"Rangamati","Kaptai","Village Women Group (VWG)",35,"Female","Marma","SSC/Equivalent",3,15167,"No","Drought","No","Yes",4,"No",3,5,34,34,"No","Yes","Never","Always",1,3,NA,3,1858,"Moderately Food Insecure",13
"COR-0151",2024-10-19,"Rangamati","Naniarchar","Local Government Representative",46,"Female","Bengali","SSC/Equivalent",4,12368,"No","Flash Flood","Yes","No",3,"Yes",2,4,44,55,"Yes","Yes","Sometimes","Often",2,6,NA,4,0,"Mildly Food Insecure",16
"COR-0152",2024-11-22,"Khagrachari","Khagrachari Sadar","Local Government Representative",43,"Female","Chakma","Secondary (Class 6-10)",4,5707,"No","Erratic Rainfall","No","Yes",4,"Yes",3,6,30,44,"No","No","Rarely","Rarely",2,4,NA,4,0,"Food Secure",18
"COR-0153",2024-10-20,"Bandarban","Ruma","Village Women Group (VWG)",36,"Female","Marma","Primary (Class 1-5)",5,11233,"No","Multiple","No","Yes",2,"Yes",2,3,19,25,"No","Yes","Sometimes","Often",2,5,NA,4,0,"Food Secure",14
"COR-0154",2024-09-11,"Rangamati","Barkal","Local Government Representative",33,"Female","Khyang","Primary (Class 1-5)",8,9727,"No","Erratic Rainfall","No","No",2,"Yes",5,7,36,48,"No","Yes","Often","Sometimes",1,3,NA,1,836,"Moderately Food Insecure",15
"COR-0155",2024-10-10,"Bandarban","Rowangchhari","Women's Climate Resilience Committee (WCRC)",40,"Female","Marma","HSC/Equivalent",3,9806,"Yes","Multiple","No","No",4,"Yes",5,8,51,74,"Yes","Yes","Never","Sometimes",1,2,3,4,0,"Moderately Food Insecure",11
"COR-0156",2024-09-10,"Khagrachari","Khagrachari Sadar","Village Women Group (VWG)",44,"Female","Tripura","Primary (Class 1-5)",5,3000,"No","None","No","Yes",2,"Yes",1,3,16,23,"Yes","Yes","Sometimes","Sometimes",1,3,NA,4,2276,"Food Secure",12
"COR-0157",2024-09-26,"Rangamati","Baghaichhari","Women's Climate Resilience Committee (WCRC)",44,"Female","Pangkhua","Primary (Class 1-5)",4,8356,"Yes","Multiple","No","Yes",1,"Yes",0,1,43,48,"No","Yes","Rarely","Often",2,4,3,3,2208,"Mildly Food Insecure",15
"COR-0158",2024-10-08,"Rangamati","Naniarchar","Youth Group",20,"Female","Marma","SSC/Equivalent",6,10003,"No","Flash Flood","Yes","No",3,"Yes",4,6,40,52,"No","Yes","Rarely","Never",1,6,NA,3,1424,"Moderately Food Insecure",8
"COR-0159",2024-11-13,"Khagrachari","Mahalchhari","Village Women Group (VWG)",25,"Female","Tripura","Primary (Class 1-5)",4,12226,"No","Erratic Rainfall","Yes","Yes",2,"Yes",4,5,63,67,"No","Yes","Never","Often",5,4,NA,4,910,"Mildly Food Insecure",20
"COR-0160",2024-11-05,"Rangamati","Barkal","Women's Climate Resilience Committee (WCRC)",32,"Female","Chakma","Secondary (Class 6-10)",5,13816,"Yes","Landslide","No","No",3,"Yes",2,4,36,50,"No","Yes","Often","Rarely",2,2,3,4,0,"Mildly Food Insecure",12
"COR-0161",2024-09-09,"Rangamati","Rajasthali","Youth Group",22,"Female","Tripura","Secondary (Class 6-10)",4,14096,"No","Landslide","Yes","No",1,"No",4,5,43,45,"No","No","Never","Rarely",1,3,NA,2,1097,"Food Secure",12
"COR-0162",2024-09-06,"Bandarban","Alikadam","Women's Climate Resilience Committee (WCRC)",36,"Female","Tanchangya","SSC/Equivalent",4,12047,"Yes","None","Yes","No",4,"Yes",2,4,33,35,"No","No","Sometimes","Never",1,6,5,5,0,"Food Secure",7
"COR-0163",2024-11-27,"Bandarban","Rowangchhari","Village Women Group (VWG)",43,"Female","Tanchangya","Primary (Class 1-5)",7,11701,"No","Flash Flood","Yes","Yes",2,"Yes",1,2,31,36,"No","No","Sometimes","Sometimes",4,4,NA,4,2242,"Mildly Food Insecure",15
"COR-0164",2024-10-06,"Rangamati","Barkal","Youth Group",25,"Female","Murung","Primary (Class 1-5)",6,12033,"No","Multiple","Yes","Yes",3,"Yes",6,7,29,39,"Yes","Yes","Rarely","Sometimes",1,2,NA,4,1014,"Food Secure",10
"COR-0165",2024-09-28,"Bandarban","Rowangchhari","Women's Climate Resilience Committee (WCRC)",25,"Female","Chakma","Secondary (Class 6-10)",5,8095,"No","Landslide","No","No",2,"Yes",1,2,74,82,"No","Yes","Rarely","Sometimes",2,6,3,4,2678,"Food Secure",7
"COR-0166",2024-09-22,"Bandarban","Rowangchhari","Village Women Group (VWG)",38,"Female","Bengali","Primary (Class 1-5)",5,9913,"No","Multiple","Yes","No",3,"Yes",3,7,38,45,"No","Yes","Rarely","Rarely",2,4,NA,5,2129,"Moderately Food Insecure",14
"COR-0167",2024-10-01,"Rangamati","Baghaichhari","Women's Climate Resilience Committee (WCRC)",18,"Female","Tanchangya","Graduate and above",7,13856,"Yes","Landslide","Yes","No",3,"Yes",3,5,31,45,"Yes","No","Often","Often",1,2,3,4,0,"Moderately Food Insecure",14
"COR-0168",2024-11-04,"Khagrachari","Panchhari","Village Women Group (VWG)",34,"Female","Chakma","Primary (Class 1-5)",6,10677,"No","Landslide","Yes","Yes",3,"Yes",5,7,36,42,"No","No","Never","Rarely",1,4,NA,4,0,"Mildly Food Insecure",7
"COR-0169",2024-09-19,"Khagrachari","Lakshmichhari","Youth Group",20,"Female","Bengali","Primary (Class 1-5)",4,7031,"Yes","Multiple","No","Yes",2,"Yes",5,6,35,40,"No","Yes","Rarely","Often",4,3,NA,4,0,"Mildly Food Insecure",9
"COR-0170",2024-09-23,"Khagrachari","Dighinala","Women's Climate Resilience Committee (WCRC)",43,"Female","Tripura","Primary (Class 1-5)",2,13108,"No","Multiple","No","No",4,"No",1,5,20,38,"No","Yes","Rarely","Sometimes",5,1,3,3,1984,"Moderately Food Insecure",8
"COR-0171",2024-11-13,"Bandarban","Ruma","Youth Group",21,"Male","Khumi","Primary (Class 1-5)",5,3000,"Yes","Flash Flood","No","No",1,"Yes",2,3,58,60,"No","Yes","Often","Always",4,4,NA,5,1015,"Mildly Food Insecure",14
"COR-0172",2024-10-18,"Bandarban","Alikadam","Youth Group",18,"Female","Tripura","HSC/Equivalent",4,13045,"Yes","Erratic Rainfall","No","No",4,"Yes",2,6,32,49,"No","Yes","Often","Sometimes",1,6,NA,3,0,"Moderately Food Insecure",16
"COR-0173",2024-11-12,"Khagrachari","Lakshmichhari","Youth Group",26,"Male","Khyang","SSC/Equivalent",3,11940,"Yes","None","Yes","No",3,"Yes",0,1,27,30,"No","Yes","Sometimes","Rarely",2,3,NA,4,1971,"Food Secure",14
"COR-0174",2024-09-21,"Bandarban","Thanchi","Village Women Group (VWG)",47,"Female","Marma","Secondary (Class 6-10)",3,9760,"No","None","No","No",2,"Yes",3,4,50,60,"No","No","Sometimes","Often",2,2,NA,4,0,"Mildly Food Insecure",9
"COR-0175",2024-09-02,"Khagrachari","Dighinala","Local Government Representative",36,"Male","Chakma","HSC/Equivalent",4,12634,"No","Flash Flood","Yes","Yes",3,"Yes",2,5,63,70,"No","Yes","Never","Often",3,3,NA,4,2360,"Moderately Food Insecure",17
"COR-0176",2024-09-29,"Khagrachari","Khagrachari Sadar","Village Women Group (VWG)",35,"Female","Tripura","Secondary (Class 6-10)",5,13761,"No","Landslide","Yes","Yes",4,"Yes",3,5,28,32,"No","Yes","Rarely","Always",3,3,NA,4,0,"Food Secure",9
"COR-0177",2024-10-22,"Khagrachari","Mahalchhari","Youth Group",28,"Female","Bengali","SSC/Equivalent",4,7127,"Yes","None","No","No",2,"Yes",5,6,40,44,"No","Yes","Often","Sometimes",2,4,NA,5,0,"Mildly Food Insecure",10
"COR-0178",2024-10-27,"Rangamati","Baghaichhari","Women's Climate Resilience Committee (WCRC)",40,"Female","Pangkhua","Primary (Class 1-5)",5,9840,"Yes","Drought","Yes","No",1,"Yes",3,4,50,55,"No","No","Never","Often",1,3,4,4,0,"Severely Food Insecure",16
"COR-0179",2024-11-25,"Bandarban","Alikadam","Community Stakeholder",43,"Female","Pangkhua","No formal education",5,10548,"No","Landslide","Yes","Yes",1,"No",5,6,65,72,"Yes","Yes","Never","Often",1,2,NA,4,0,"Food Secure",11
"COR-0180",2024-10-03,"Khagrachari","Dighinala","Local Government Representative",33,"Female","Chakma","SSC/Equivalent",6,17412,"Yes","Flash Flood","Yes","Yes",3,"Yes",3,5,24,41,"No","No","Never","Always",3,3,NA,4,0,"Food Secure",13
"COR-0181",2024-09-27,"Rangamati","Barkal","Village Women Group (VWG)",41,"Female","Chakma","SSC/Equivalent",3,12567,"Yes","None","Yes","Yes",4,"Yes",2,6,38,59,"No","No","Rarely","Sometimes",1,6,NA,4,784,"Severely Food Insecure",8
"COR-0182",2024-10-16,"Bandarban","Alikadam","Local Government Representative",30,"Male","Murung","HSC/Equivalent",6,6948,"Yes","Erratic Rainfall","No","Yes",3,"Yes",3,5,38,48,"No","Yes","Always","Sometimes",4,1,NA,4,0,"Mildly Food Insecure",11
"COR-0183",2024-11-10,"Rangamati","Naniarchar","Local Government Representative",60,"Male","Chakma","SSC/Equivalent",5,14170,"Yes","Landslide","Yes","Yes",3,"No",4,5,28,37,"No","Yes","Sometimes","Often",4,3,NA,4,259,"Severely Food Insecure",14
"COR-0184",2024-11-18,"Bandarban","Rowangchhari","Youth Group",19,"Male","Tripura","SSC/Equivalent",5,13639,"Yes","None","No","Yes",4,"Yes",4,7,31,47,"No","Yes","Never","Often",2,4,NA,5,0,"Severely Food Insecure",12
"COR-0185",2024-10-24,"Rangamati","Rajasthali","Village Women Group (VWG)",33,"Female","Marma","Primary (Class 1-5)",6,12920,"Yes","Erratic Rainfall","Yes","No",3,"Yes",4,5,61,69,"No","Yes","Sometimes","Sometimes",4,2,NA,4,1934,"Food Secure",12
"COR-0186",2024-10-02,"Bandarban","Ruma","Local Government Representative",37,"Female","Chakma","Primary (Class 1-5)",6,8181,"Yes","Landslide","Yes","Yes",3,"No",4,7,24,38,"No","No","Often","Never",2,2,NA,2,1400,"Food Secure",15
"COR-0187",2024-10-14,"Bandarban","Rowangchhari","Village Women Group (VWG)",28,"Female","Tripura","Secondary (Class 6-10)",4,11182,"No","Multiple","No","Yes",2,"Yes",5,5,23,22,"Yes","No","Often","Never",3,3,NA,3,0,"Moderately Food Insecure",17
"COR-0188",2024-11-21,"Bandarban","Ruma","Village Women Group (VWG)",25,"Female","Marma","Secondary (Class 6-10)",3,12100,"No","Multiple","Yes","Yes",2,"Yes",3,4,16,24,"No","Yes","Rarely","Sometimes",2,1,NA,5,0,"Mildly Food Insecure",7
"COR-0189",2024-11-01,"Bandarban","Alikadam","Community Stakeholder",36,"Female","Chakma","SSC/Equivalent",6,4442,"Yes","None","No","Yes",1,"Yes",3,3,58,60,"No","Yes","Rarely","Often",2,3,NA,4,0,"Moderately Food Insecure",20
"COR-0190",2024-09-23,"Rangamati","Baghaichhari","Village Women Group (VWG)",49,"Female","Marma","Secondary (Class 6-10)",7,3177,"Yes","Erratic Rainfall","Yes","Yes",2,"Yes",5,6,29,37,"No","No","Rarely","Often",3,2,NA,5,1929,"Food Secure",13
"COR-0191",2024-10-26,"Rangamati","Naniarchar","Village Women Group (VWG)",44,"Female","Marma","Primary (Class 1-5)",4,7588,"No","Multiple","Yes","Yes",3,"Yes",3,5,54,72,"No","No","Never","Always",2,1,NA,5,0,"Mildly Food Insecure",18
"COR-0192",2024-09-03,"Rangamati","Rajasthali","Women's Climate Resilience Committee (WCRC)",31,"Female","Pangkhua","Primary (Class 1-5)",4,13277,"Yes","Landslide","No","Yes",2,"Yes",2,4,10,16,"No","No","Never","Often",2,2,4,4,1822,"Food Secure",8
"COR-0193",2024-09-23,"Rangamati","Kaptai","Women's Climate Resilience Committee (WCRC)",37,"Female","Chakma","SSC/Equivalent",6,3000,"Yes","Flash Flood","Yes","No",3,"Yes",6,7,34,51,"No","No","Never","Sometimes",1,3,2,3,0,"Mildly Food Insecure",15
"COR-0194",2024-09-02,"Rangamati","Naniarchar","Community Stakeholder",27,"Male","Bengali","Secondary (Class 6-10)",4,19741,"No","Landslide","Yes","No",3,"Yes",1,4,63,82,"No","No","Often","Often",1,2,NA,2,446,"Mildly Food Insecure",16
"COR-0195",2024-09-08,"Rangamati","Baghaichhari","Local Government Representative",28,"Female","Bengali","Primary (Class 1-5)",7,17047,"No","Landslide","No","No",2,"Yes",5,6,41,58,"No","Yes","Never","Always",2,2,NA,2,0,"Mildly Food Insecure",15
"COR-0196",2024-10-08,"Rangamati","Baghaichhari","Women's Climate Resilience Committee (WCRC)",47,"Female","Tanchangya","No formal education",5,3000,"No","Flash Flood","Yes","Yes",2,"Yes",4,6,43,47,"No","Yes","Often","Often",3,1,4,5,0,"Mildly Food Insecure",16
"COR-0197",2024-11-27,"Khagrachari","Khagrachari Sadar","Community Stakeholder",42,"Female","Chakma","Primary (Class 1-5)",2,18588,"Yes","Drought","Yes","Yes",2,"Yes",4,6,28,31,"No","No","Often","Sometimes",1,2,NA,4,0,"Moderately Food Insecure",12
"COR-0198",2024-09-09,"Khagrachari","Khagrachari Sadar","Village Women Group (VWG)",35,"Female","Tripura","Primary (Class 1-5)",7,9445,"Yes","Multiple","Yes","No",1,"Yes",5,6,28,34,"Yes","Yes","Always","Always",2,3,NA,3,493,"Food Secure",9
