"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","school_type","school_has_safe_water","school_has_separate_toilet","school_has_menstrual_hygiene_facility","school_gender_responsive_policy","years_in_programme","enrollment_rate_baseline_pct","enrollment_rate_endline_pct","girls_attendance_days_baseline","girls_attendance_days_endline","dropout_rate_girls_baseline_pct","dropout_rate_girls_endline_pct","learning_score_baseline","learning_score_endline","agency_score_baseline","agency_score_endline","child_marriage_prevalence_baseline_pct","child_marriage_prevalence_endline_pct","gbv_awareness_baseline","gbv_awareness_endline","mhm_knowledge_baseline","mhm_knowledge_endline","participates_in_school_activities","teacher_trained_gender_responsive","teacher_uses_inclusive_methods","parent_education_support","household_distance_to_school_km","economic_barrier_to_schooling","rhcw_households_served","rhcw_mhm_sessions_conducted","satisfaction_score"
"WGE-0249",2024-11-12,"Rangamati","Naniarchar","School Management Committee (SMC)",62,"Female","Marma","Government Primary School","Yes","No","Yes","Yes",3,62.7,78.6,19,20,21.1,21,37,50,4.8,6.2,30.8,20.9,4,4,"Poor","Good","Yes","Yes","Yes","Strongly supports",2.6,"Yes - major barrier",38,6,1
"WGE-0250",2024-11-11,"Rangamati","Longadu","School Student (Boy)",10,"Male","Marma","Government Primary School","No","No","Yes","No",4,67.3,76.1,19,21,26.2,23.8,52,65,5.3,7.2,69.7,56.9,2,5,"Excellent","Good","No","No","Partially","Neutral",2.7,"Yes - major barrier",42,7,3
"WGE-0251",2024-09-22,"Khagrachari","Ramgarh","School Student (Boy)",14,"Male","Tripura","Madrasa","Yes","Yes","No","Partially",3,78.2,87.2,19,22,23.5,13,24,34,2.6,4.8,62.8,47.5,2,5,"Excellent","Good","Yes","Yes","Yes","Neutral",5.3,"No barrier",75,10,2
"WGE-0252",2024-09-17,"Khagrachari","Dighinala","School Student (Girl)",14,"Female","Marma","NGO-run School","Yes","Yes","Yes","No",3,68.7,76.4,12,14,15.7,10.3,35,39,5.8,7.8,59.9,54,1,5,"Poor","Good","No","No","No","Strongly supports",1.5,"No barrier",52,9,4
"WGE-0253",2024-09-16,"Rangamati","Baghaichhari","School Management Committee (SMC)",34,"Female","Bengali","Government Secondary School","Yes","No","No","Yes",2,57.2,66.2,18,20,22.3,15.1,67,74,3.4,4.2,49.8,40.1,2,4,"Good","Moderate","Yes","No","Partially","Supports",6.7,"Yes - minor barrier",32,4,5
"WGE-0254",2024-11-26,"Bandarban","Lama","School Student (Girl)",14,"Female","Marma","Government Primary School","Yes","Yes","No","Yes",4,75.9,91.4,17,21,25,19.3,33,58,5.6,7.9,40.4,31.2,2,4,"Excellent","Excellent","Yes","Yes","Yes","Strongly supports",2.8,"Yes - major barrier",42,13,4
"WGE-0255",2024-10-19,"Khagrachari","Panchhari","Mother Club Member",26,"Female","Tanchangya","Government Secondary School","No","Yes","No","Yes",4,57.2,65.3,14,15,18.1,7.4,44,68,2.8,4.2,61.5,53,3,4,"Good","Excellent","No","Yes","Partially","Does not support",5.8,"Yes - minor barrier",60,6,4
"WGE-0256",2024-10-15,"Rangamati","Rajasthali","School Student (Girl)",15,"Female","Tanchangya","Government Secondary School","Yes","Yes","Yes","Yes",2,73,80.4,15,18,20.8,14.8,23,32,2.5,3,43.4,32.3,4,1,"Good","Moderate","No","No","No","Strongly supports",0.9,"Yes - minor barrier",37,12,4
"WGE-0257",2024-10-17,"Bandarban","Ruma","School Student (Girl)",11,"Female","Tanchangya","NGO-run School","Yes","Yes","No","Partially",2,64.7,73.4,13,14,24.8,18.6,54,63,4.5,5.1,36.3,25.6,3,5,"Moderate","Good","No","No","Partially","Strongly supports",5,"Yes - minor barrier",27,9,4
"WGE-0258",2024-10-11,"Bandarban","Bandarban Sadar","Teacher",25,"Female","Bawm","Madrasa","Yes","Yes","Yes","No",2,56.8,61,14,16,16.9,13.6,38,44,1.3,2.3,54,49.2,2,5,"Moderate","Good","Yes","Yes","Partially","Strongly supports",2.2,"No barrier",32,7,4
"WGE-0259",2024-09-22,"Bandarban","Naikhongchhari","Reproductive Health Community Worker (RHCW)",25,"Female","Marma","Government Secondary School","No","Yes","Yes","Partially",2,60.2,67.8,12,16,8.3,5.4,68,70,4.7,6.9,49.6,35.8,2,5,"Poor","Good","Yes","No","No","Supports",6.1,"No barrier",49,2,5
"WGE-0260",2024-10-03,"Khagrachari","Panchhari","Reproductive Health Community Worker (RHCW)",23,"Female","Marma","Government Primary School","No","No","No","Yes",3,71.8,80.4,8,12,11,2.7,53,59,3.1,5,42,33.5,1,2,"Good","Excellent","Yes","Yes","No","Does not support",4,"No barrier",50,3,5
"WGE-0261",2024-09-04,"Khagrachari","Dighinala","School Student (Girl)",10,"Female","Tripura","Community Learning Centre","Yes","No","No","Partially",3,75.4,93.3,14,15,12.5,4.7,69,72,3.5,5.6,25.1,6.7,3,4,"Poor","Excellent","Yes","No","Partially","Does not support",0.2,"No barrier",48,10,4
"WGE-0262",2024-11-04,"Khagrachari","Panchhari","School Student (Boy)",12,"Male","Murung","Government Primary School","No","Yes","No","Partially",1,66.3,75.9,17,19,15.3,9.5,58,61,0.2,0.2,45.4,41.2,2,3,"Poor","Poor","Yes","Yes","Yes","Supports",2.6,"Yes - major barrier",63,9,5
"WGE-0263",2024-09-12,"Bandarban","Naikhongchhari","Household (Parent/Guardian)",47,"Male","Murung","Madrasa","Yes","No","Yes","Yes",4,63.6,67.3,14,15,6.4,4.1,51,65,3.1,5,40.4,35.2,3,4,"Moderate","Excellent","Yes","Yes","Partially","Strongly supports",3.7,"Yes - minor barrier",73,12,3
"WGE-0264",2024-10-19,"Rangamati","Baghaichhari","School Student (Girl)",12,"Female","Khumi","Government Primary School","Yes","No","No","Partially",3,88.5,100,16,17,14,12.2,74,89,4.1,6.1,38.5,27.8,3,5,"Good","Good","No","Yes","Partially","Supports",5.7,"No barrier",52,5,4
"WGE-0265",2024-10-29,"Bandarban","Ruma","Teacher",21,"Female","Tanchangya","Government Secondary School","No","Yes","Yes","Yes",4,67.3,71.8,19,21,17.8,11.6,42,56,4.4,5.4,28.7,21,3,4,"Moderate","Good","Yes","No","No","Supports",4,"No barrier",10,11,3
"WGE-0266",2024-12-04,"Rangamati","Rajasthali","Mother Club Member",35,"Female","Bawm","Madrasa","Yes","No","Yes","Yes",2,67.8,73.8,19,22,19.2,11.3,43,48,3.2,4.1,39.1,35.2,3,3,"Excellent","Good","Yes","Yes","Partially","Supports",3.5,"No barrier",26,7,5
"WGE-0267",2024-11-30,"Khagrachari","Panchhari","School Management Committee (SMC)",61,"Female","Marma","Government Secondary School","No","Yes","No","Yes",3,81.2,90.7,22,22,19.7,14.9,38,55,3.7,4.7,50.4,45.6,4,4,"Moderate","Moderate","No","Yes","Yes","Neutral",8,"Yes - major barrier",46,10,3
"WGE-0268",2024-09-25,"Khagrachari","Dighinala","Community Stakeholder",36,"Female","Chakma","Government Primary School","No","No","Yes","No",1,70.8,73.4,16,19,8.3,4.5,44,47,3.8,4.2,40.7,31.5,5,4,"Moderate","Excellent","No","No","Partially","Does not support",5,"No barrier",46,10,4
"WGE-0269",2024-11-14,"Khagrachari","Panchhari","School Student (Girl)",13,"Female","Marma","Government Secondary School","No","No","No","Partially",1,86.6,87.2,12,15,26.3,20.4,22,26,3.3,4.1,44.1,37.9,4,3,"Poor","Moderate","No","Yes","Yes","Neutral",4,"Yes - major barrier",58,5,3
"WGE-0270",2024-09-06,"Bandarban","Lama","School Student (Girl)",18,"Female","Tripura","Government Primary School","No","No","Yes","Yes",4,67.9,82.9,16,18,15.7,11.5,59,76,3.7,5.5,42.1,29.4,5,2,"Good","Good","Yes","Yes","Partially","Strongly supports",5.7,"No barrier",94,8,2
"WGE-0271",2024-12-02,"Khagrachari","Dighinala","School Student (Boy)",14,"Male","Tripura","Government Secondary School","Yes","Yes","Yes","Yes",2,64.8,74,12,13,21.3,14.3,34,45,6.4,7.5,60.8,56.1,1,4,"Excellent","Excellent","Yes","Yes","Partially","Supports",7.3,"Yes - minor barrier",41,11,5
"WGE-0272",2024-09-29,"Khagrachari","Dighinala","School Management Committee (SMC)",55,"Female","Pangkhua","Government Secondary School","Yes","Yes","No","Partially",4,61,66.8,22,22,16.9,9.5,29,49,5.4,8.1,68.8,66.5,1,5,"Moderate","Excellent","Yes","Yes","Yes","Supports",4.4,"No barrier",28,10,5
"WGE-0273",2024-11-05,"Rangamati","Longadu","School Management Committee (SMC)",36,"Male","Pangkhua","Government Primary School","Yes","Yes","No","Partially",1,69.3,84.4,21,22,6.9,0.2,22,25,4.6,5.2,42.7,33.5,3,5,"Excellent","Good","No","No","Partially","Strongly supports",4.4,"Yes - minor barrier",23,4,5
"WGE-0274",2024-09-24,"Rangamati","Longadu","Teacher",49,"Male","Tanchangya","Government Primary School","Yes","Yes","No","No",3,92.7,94.7,18,19,8.7,3.8,55,59,0,1.3,11.7,9,2,4,"Good","Moderate","Yes","Yes","Partially","Supports",0.9,"No barrier",69,6,2
"WGE-0275",2024-09-19,"Khagrachari","Panchhari","School Student (Boy)",14,"Male","Chakma","Government Primary School","Yes","Yes","Yes","No",3,56.5,69,13,15,19.1,15,61,73,2.5,4.2,60.7,53.3,2,4,"Poor","Excellent","Yes","No","Partially","Supports",0.2,"No barrier",34,6,4
"WGE-0276",2024-09-26,"Khagrachari","Ramgarh","School Student (Girl)",13,"Female","Chakma","Madrasa","No","Yes","No","Yes",2,75.9,89.8,18,19,26.7,18.9,31,38,5.2,5.9,35.7,26.4,2,3,"Good","Excellent","Yes","Yes","Yes","Does not support",3.4,"Yes - minor barrier",59,10,4
"WGE-0277",2024-09-25,"Bandarban","Bandarban Sadar","School Student (Girl)",17,"Female","Chakma","NGO-run School","Yes","Yes","No","Yes",3,93.6,100,13,17,13.8,7.7,33,38,0,1.9,42.9,33.3,2,4,"Moderate","Excellent","Yes","Yes","Partially","Neutral",3.6,"No barrier",18,7,5
"WGE-0278",2024-11-25,"Bandarban","Naikhongchhari","School Student (Boy)",14,"Male","Tanchangya","Government Secondary School","Yes","Yes","No","Yes",4,62.2,64.8,21,22,22.6,16.6,38,53,1.4,3.4,37.2,22.2,3,1,"Moderate","Moderate","Yes","Yes","Partially","Neutral",0.4,"No barrier",41,6,1
"WGE-0279",2024-10-18,"Khagrachari","Mahalchhari","Mother Club Member",34,"Female","Tripura","Government Secondary School","No","Yes","No","Partially",2,74.2,80.5,16,19,28.2,20.2,64,69,6.4,7.8,40.5,31.4,5,3,"Moderate","Excellent","Yes","No","Partially","Neutral",7.6,"No barrier",40,16,4
"WGE-0280",2024-10-14,"Rangamati","Rajasthali","School Student (Girl)",14,"Female","Tripura","NGO-run School","No","Yes","No","Yes",3,72.9,88.1,14,17,34.5,30.8,36,46,4.3,6.1,55.7,43.6,1,4,"Excellent","Good","Yes","Yes","Yes","Supports",4.2,"No barrier",31,6,2
"WGE-0281",2024-11-19,"Khagrachari","Panchhari","Teacher",28,"Male","Chakma","Community Learning Centre","Yes","Yes","Yes","Yes",1,92.7,100,10,12,27.8,25.6,70,74,3.8,4.1,32.2,18.9,1,5,"Good","Moderate","No","No","Yes","Supports",2.6,"No barrier",27,6,4
"WGE-0282",2024-09-15,"Bandarban","Naikhongchhari","Household (Parent/Guardian)",45,"Male","Bawm","Government Secondary School","No","No","Yes","No",4,84.2,97,15,16,12.9,3.5,47,61,3.5,5.6,20.9,12.5,3,3,"Moderate","Excellent","No","Yes","Partially","Strongly supports",4.4,"No barrier",69,6,4
"WGE-0283",2024-09-25,"Khagrachari","Ramgarh","Mother Club Member",34,"Female","Marma","Community Learning Centre","Yes","No","Yes","Yes",3,81,89,17,19,14.2,2,36,48,5.6,6.9,42.5,37.1,2,3,"Poor","Moderate","No","Yes","Yes","Strongly supports",2.5,"No barrier",63,10,3
"WGE-0284",2024-11-14,"Khagrachari","Mahalchhari","Household (Parent/Guardian)",23,"Female","Bengali","Government Secondary School","No","Yes","Yes","Yes",1,69.2,81.4,12,15,11.5,5.1,44,49,4.7,5.4,34.4,23.9,2,5,"Moderate","Good","No","No","Partially","Strongly supports",3.4,"Yes - major barrier",38,6,4
"WGE-0285",2024-10-29,"Bandarban","Rowangchhari","Household (Parent/Guardian)",54,"Male","Tanchangya","Government Primary School","Yes","Yes","No","No",2,64.5,75.1,18,21,19.8,9.8,53,55,4,5.7,67.6,59.3,4,4,"Moderate","Good","No","No","No","Strongly supports",0.8,"Yes - major barrier",67,9,4
"WGE-0286",2024-09-08,"Khagrachari","Dighinala","School Student (Girl)",14,"Female","Bawm","Government Primary School","No","Yes","No","Partially",1,73.8,87,17,20,19.4,11.4,61,62,3.6,4.2,54.4,37.2,3,4,"Poor","Good","Yes","No","Partially","Neutral",3.4,"Yes - minor barrier",64,2,5
"WGE-0287",2024-09-22,"Rangamati","Naniarchar","School Management Committee (SMC)",31,"Female","Bengali","Government Primary School","No","Yes","Yes","Partially",2,69.6,80.5,14,15,10.9,6.2,31,35,5.8,7.3,60.9,43.1,4,3,"Moderate","Good","No","Yes","Partially","Strongly supports",2,"Yes - minor barrier",62,4,5
"WGE-0288",2024-10-21,"Rangamati","Naniarchar","Mother Club Member",40,"Female","Marma","Government Secondary School","Yes","No","No","No",4,80.5,91.5,13,16,22.5,18.2,51,79,2.5,3.5,56.7,49.2,3,4,"Good","Good","Yes","Yes","No","Supports",3.4,"No barrier",30,11,2
"WGE-0289",2024-11-27,"Bandarban","Naikhongchhari","School Student (Boy)",11,"Male","Marma","NGO-run School","No","Yes","No","No",1,80.9,88,12,14,16.1,5.8,53,57,1.5,2,32.3,25.2,3,4,"Good","Good","No","Yes","Yes","Neutral",5.1,"Yes - major barrier",14,13,5
"WGE-0290",2024-10-16,"Bandarban","Rowangchhari","School Student (Boy)",18,"Male","Tripura","NGO-run School","No","No","No","Partially",1,69.7,79.1,15,18,13.1,9.4,24,29,1.6,2,36.3,26.7,3,4,"Good","Good","Yes","Yes","Yes","Does not support",6.1,"No barrier",48,9,3
"WGE-0291",2024-10-01,"Rangamati","Kaptai","School Student (Boy)",16,"Male","Murung","Government Primary School","Yes","Yes","No","No",3,79.8,96.4,14,15,22.6,17,54,65,2.2,3.4,64.3,51.5,2,3,"Moderate","Moderate","Yes","No","Yes","Supports",2.6,"Yes - major barrier",46,4,4
"WGE-0292",2024-09-06,"Bandarban","Rowangchhari","School Student (Girl)",13,"Female","Chakma","Government Primary School","Yes","Yes","Yes","No",2,72.1,79.4,15,19,20.4,14.5,44,50,1.6,2.7,48.1,41.6,5,5,"Good","Good","Yes","Yes","Yes","Supports",4.1,"Yes - major barrier",36,11,2
"WGE-0293",2024-09-09,"Khagrachari","Panchhari","Household (Parent/Guardian)",35,"Male","Khumi","Madrasa","Yes","Yes","Yes","No",2,68.3,77.2,17,19,22.1,16,52,60,2.8,4.1,33.3,24.8,3,2,"Moderate","Excellent","Yes","No","Partially","Strongly supports",3.2,"Yes - major barrier",35,6,4
"WGE-0294",2024-12-01,"Bandarban","Naikhongchhari","Household (Parent/Guardian)",53,"Male","Chakma","Government Secondary School","Yes","Yes","Yes","Yes",2,79.3,85.1,22,22,8.6,4.3,58,66,5.6,6.2,24.4,17.3,1,2,"Poor","Excellent","Yes","Yes","Yes","Supports",4.8,"No barrier",67,10,3
"WGE-0295",2024-11-11,"Bandarban","Lama","Police/Law Enforcement",36,"Female","Tanchangya","Government Primary School","No","Yes","No","Yes",2,74.8,85,20,22,5.5,0,39,46,5.7,6.9,28.4,18.9,1,3,"Moderate","Good","Yes","No","Partially","Supports",3.3,"Yes - minor barrier",58,4,5
"WGE-0296",2024-09-16,"Khagrachari","Dighinala","Teacher",38,"Female","Tanchangya","Government Secondary School","Yes","No","Yes","Yes",1,59.2,68.9,19,19,22.1,19.7,72,75,2.3,2.8,32.3,20.6,2,5,"Poor","Good","No","Yes","Partially","Does not support",0.2,"Yes - minor barrier",70,7,5
"WGE-0297",2024-11-25,"Khagrachari","Panchhari","Reproductive Health Community Worker (RHCW)",26,"Female","Marma","Government Primary School","Yes","No","Yes","Partially",3,40,54,18,20,24.4,17.5,38,52,3.5,4.7,37.1,29.8,2,5,"Good","Good","No","Yes","Yes","Strongly supports",3.2,"Yes - minor barrier",24,12,3
"WGE-0298",2024-12-04,"Khagrachari","Mahalchhari","Teacher",33,"Male","Tripura","Government Primary School","Yes","Yes","Yes","No",2,75.2,86.5,10,12,13.8,10.2,26,33,4,5.2,46.4,34.6,5,2,"Moderate","Excellent","Yes","Yes","Partially","Strongly supports",1.5,"Yes - minor barrier",62,9,5
"WGE-0299",2024-09-08,"Rangamati","Baghaichhari","School Student (Girl)",13,"Female","Khumi","Government Primary School","No","No","Yes","Partially",2,81.9,91.5,13,17,16.3,15.8,78,84,2.8,3.1,53.8,41,5,3,"Moderate","Excellent","No","Yes","Yes","Strongly supports",4.9,"No barrier",53,7,4
"WGE-0300",2024-10-03,"Khagrachari","Ramgarh","Household (Parent/Guardian)",43,"Male","Bengali","Government Secondary School","No","Yes","Yes","Partially",3,73.9,89.3,15,17,22.8,15.6,39,45,4,5.3,36.5,28.3,1,4,"Good","Moderate","No","Yes","Partially","Supports",5.4,"No barrier",34,10,4
"WGE-0301",2024-09-09,"Khagrachari","Dighinala","Household (Parent/Guardian)",41,"Male","Chakma","NGO-run School","Yes","Yes","No","Partially",3,72.6,82.3,19,21,15.6,10.4,69,75,5.3,7.6,33.7,22.5,2,5,"Good","Excellent","No","Yes","Yes","Supports",5,"No barrier",51,5,4
"WGE-0302",2024-11-26,"Khagrachari","Khagrachari Sadar","Reproductive Health Community Worker (RHCW)",18,"Female","Chakma","Government Primary School","Yes","No","No","No",1,76.1,84.7,16,18,22.9,19.9,44,49,2.8,3.3,55,47.3,2,3,"Poor","Excellent","Yes","Yes","Partially","Strongly supports",2,"Yes - major barrier",10,8,5
"WGE-0303",2024-09-20,"Khagrachari","Mahalchhari","Reproductive Health Community Worker (RHCW)",36,"Female","Marma","Government Secondary School","No","Yes","Yes","Yes",4,74.6,83.2,16,19,21.4,12.3,50,59,5.5,8.6,41.1,35.8,2,2,"Excellent","Moderate","Yes","No","Partially","Supports",5,"Yes - minor barrier",32,4,5
"WGE-0304",2024-09-11,"Rangamati","Kaptai","Mother Club Member",35,"Female","Bengali","Government Secondary School","Yes","Yes","Yes","No",2,81.3,84.6,17,18,27.1,19,37,39,2.2,3.3,51.1,39.5,3,3,"Poor","Moderate","Yes","Yes","Partially","Supports",2.2,"Yes - minor barrier",59,8,3
"WGE-0305",2024-10-06,"Bandarban","Rowangchhari","School Student (Girl)",17,"Female","Khumi","Government Secondary School","No","Yes","No","No",1,61.4,75.3,17,21,26.1,21.3,42,45,5.6,5.9,31,22,1,5,"Moderate","Excellent","No","No","Yes","Strongly supports",3.1,"Yes - minor barrier",72,14,4
"WGE-0306",2024-10-05,"Rangamati","Naniarchar","Household (Parent/Guardian)",47,"Male","Tripura","Government Primary School","Yes","Yes","No","No",1,95.1,100,15,17,15.3,10,66,69,1.6,2.3,40.1,39,4,4,"Good","Good","No","Yes","Yes","Supports",1.4,"No barrier",48,14,3
"WGE-0307",2024-11-02,"Khagrachari","Khagrachari Sadar","School Student (Girl)",10,"Female","Marma","Community Learning Centre","Yes","Yes","No","Partially",2,66.7,80.1,18,22,13.6,5.1,34,41,2.9,4.6,44,39.4,3,1,"Moderate","Good","No","Yes","Yes","Neutral",2.1,"Yes - minor barrier",60,11,4
"WGE-0308",2024-10-07,"Rangamati","Kaptai","School Student (Boy)",12,"Male","Tanchangya","NGO-run School","Yes","No","No","Yes",3,72.7,80,14,16,20.3,13.1,47,50,3,4.8,55.1,45.5,2,3,"Poor","Good","No","Yes","Partially","Strongly supports",4,"No barrier",76,6,3
"WGE-0309",2024-10-20,"Bandarban","Bandarban Sadar","School Student (Girl)",10,"Female","Murung","Government Primary School","Yes","No","No","Partially",4,81,94.1,16,19,5.8,0,61,68,4.6,7.9,19.1,6,3,5,"Good","Good","Yes","Yes","Yes","Neutral",3.2,"Yes - major barrier",18,9,3
"WGE-0310",2024-12-01,"Bandarban","Lama","Teacher",29,"Male","Chakma","Government Primary School","Yes","No","Yes","No",2,80.5,93.2,20,22,9.8,4.6,51,60,4.8,5.7,45.7,46.9,1,4,"Moderate","Moderate","Yes","Yes","Yes","Strongly supports",2.7,"Yes - major barrier",51,12,5
"WGE-0311",2024-10-22,"Bandarban","Rowangchhari","School Student (Boy)",14,"Male","Chak","Government Primary School","No","Yes","No","No",3,82.4,93.1,17,18,15.9,8.9,65,71,5.2,7.9,53.5,45.9,3,2,"Good","Excellent","No","No","Partially","Neutral",6.5,"No barrier",82,10,3
"WGE-0312",2024-09-05,"Bandarban","Naikhongchhari","School Management Committee (SMC)",61,"Female","Bengali","Community Learning Centre","Yes","No","No","No",4,97.4,100,11,12,36.8,31.2,68,83,1.6,2.8,44,35.8,4,5,"Moderate","Poor","Yes","No","Yes","Strongly supports",0.6,"Yes - minor barrier",27,4,5
"WGE-0313",2024-09-24,"Rangamati","Rajasthali","Household (Parent/Guardian)",51,"Male","Chakma","Madrasa","Yes","No","Yes","Partially",2,83.9,92.1,13,17,13.1,7.9,64,70,2.5,3.6,36.4,24.7,5,5,"Good","Moderate","Yes","Yes","Partially","Does not support",4.2,"No barrier",49,9,3
"WGE-0314",2024-09-24,"Bandarban","Ruma","School Student (Boy)",14,"Male","Tripura","NGO-run School","Yes","No","Yes","Yes",2,51.3,60.1,15,19,13.5,3.2,42,47,3.6,5.3,42.9,32.9,2,4,"Moderate","Good","No","Yes","Partially","Supports",3.4,"Yes - major barrier",57,7,4
"WGE-0315",2024-09-18,"Rangamati","Baghaichhari","Household (Parent/Guardian)",51,"Male","Chakma","Government Secondary School","Yes","Yes","No","Partially",3,72.1,86.7,11,13,18.6,10.5,37,46,3.8,5.9,35.4,25.5,3,3,"Excellent","Poor","Yes","No","Yes","Strongly supports",1.9,"No barrier",36,9,4
"WGE-0316",2024-10-07,"Bandarban","Rowangchhari","Reproductive Health Community Worker (RHCW)",31,"Female","Chakma","Government Secondary School","Yes","Yes","Yes","Partially",2,71.5,75.3,20,20,13.7,7.9,38,45,3.7,4.3,40.2,30.5,2,5,"Moderate","Good","Yes","No","Yes","Neutral",0.2,"No barrier",56,9,2
"WGE-0317",2024-09-27,"Khagrachari","Panchhari","Household (Parent/Guardian)",46,"Female","Marma","Government Primary School","No","No","Yes","Partially",3,91.1,100,9,11,28.7,23.3,76,94,5.3,7.4,43.7,40.9,2,2,"Good","Excellent","Yes","Yes","Partially","Neutral",9.4,"Yes - major barrier",73,8,4
"WGE-0318",2024-09-15,"Khagrachari","Panchhari","Mother Club Member",51,"Female","Tripura","NGO-run School","Yes","Yes","No","No",2,76.9,85.4,13,14,10.8,2.1,53,60,2.5,3,44.9,36,2,4,"Poor","Poor","Yes","Yes","No","Supports",3.1,"Yes - minor barrier",56,13,4
"WGE-0319",2024-10-14,"Khagrachari","Khagrachari Sadar","Household (Parent/Guardian)",34,"Female","Marma","Government Secondary School","No","Yes","No","No",1,73.4,79.4,15,18,27.1,19.3,53,53,2.3,3,31.8,23.8,1,2,"Poor","Good","Yes","Yes","Yes","Strongly supports",3.1,"No barrier",41,10,4
"WGE-0320",2024-10-16,"Khagrachari","Dighinala","Reproductive Health Community Worker (RHCW)",22,"Female","Marma","Government Primary School","No","Yes","Yes","Partially",4,68.4,77.3,19,22,20.1,12.6,68,76,5.3,7.9,28.2,15.1,3,4,"Excellent","Good","No","Yes","Yes","Strongly supports",3,"No barrier",71,9,4
"WGE-0321",2024-10-29,"Bandarban","Ruma","Household (Parent/Guardian)",30,"Female","Tanchangya","Government Secondary School","Yes","Yes","No","No",4,73.5,74.3,14,17,10.7,6.5,49,61,4.3,5.4,54.1,46.3,2,4,"Good","Good","Yes","No","Partially","Strongly supports",0.5,"No barrier",51,4,4
"WGE-0322",2024-09-18,"Khagrachari","Panchhari","Mother Club Member",31,"Female","Tripura","Government Secondary School","Yes","Yes","No","No",3,87.9,93.5,14,17,38.5,30.1,28,37,4.1,6,32.6,29.4,2,2,"Poor","Good","Yes","Yes","Partially","Strongly supports",2.9,"No barrier",69,7,4
"WGE-0323",2024-11-23,"Rangamati","Baghaichhari","School Student (Girl)",13,"Female","Chakma","Government Secondary School","No","No","No","Partially",1,71.7,83.1,18,22,11.3,7.5,43,45,6.3,7.1,35.1,27.6,4,3,"Moderate","Good","Yes","Yes","Yes","Supports",6.8,"No barrier",66,6,5
"WGE-0324",2024-12-05,"Bandarban","Bandarban Sadar","School Student (Boy)",14,"Male","Chakma","Government Secondary School","Yes","No","No","No",1,60.2,72.9,20,21,8.8,0.200000000000001,36,40,2.5,2.8,12.9,3.7,4,4,"Good","Excellent","No","Yes","No","Neutral",4.9,"Yes - minor barrier",44,4,5
"WGE-0325",2024-10-12,"Rangamati","Rajasthali","School Management Committee (SMC)",36,"Male","Marma","NGO-run School","Yes","No","Yes","Yes",3,67.4,82.3,14,18,4.7,0,49,64,5.2,7.7,33.2,29.1,2,2,"Moderate","Moderate","No","Yes","Yes","Does not support",3.2,"Yes - minor barrier",60,11,5
"WGE-0326",2024-12-03,"Khagrachari","Khagrachari Sadar","Household (Parent/Guardian)",41,"Female","Marma","Government Primary School","Yes","Yes","No","Partially",3,80.1,88.4,12,14,12.1,5.7,22,33,4.1,6.5,60.2,55.6,2,3,"Good","Good","Yes","Yes","Yes","Supports",1.7,"Yes - major barrier",15,7,3
"WGE-0327",2024-09-14,"Bandarban","Lama","Reproductive Health Community Worker (RHCW)",35,"Female","Marma","Government Primary School","No","Yes","No","Yes",2,72.4,84.1,19,21,16.5,8.6,64,68,2.7,2.5,26.4,16.1,1,5,"Poor","Good","Yes","Yes","Partially","Supports",4.5,"No barrier",42,13,4
"WGE-0328",2024-11-28,"Khagrachari","Mahalchhari","School Student (Boy)",12,"Male","Tripura","Government Primary School","No","Yes","No","Partially",4,81.4,84.3,15,17,33.2,26.3,31,49,4.3,6.2,53.4,47.1,5,5,"Poor","Moderate","Yes","No","Partially","Does not support",2.6,"Yes - minor barrier",30,3,5
"WGE-0329",2024-09-18,"Rangamati","Naniarchar","School Student (Boy)",14,"Male","Chakma","Government Primary School","Yes","Yes","No","Yes",3,73.9,85,14,16,7.8,2.1,30,33,6.2,8,37.2,28.4,3,4,"Poor","Good","Yes","Yes","Yes","Does not support",2.7,"Yes - major barrier",48,7,3
"WGE-0330",2024-11-26,"Bandarban","Ruma","Teacher",50,"Female","Chakma","Madrasa","No","Yes","Yes","Yes",2,53.2,69.9,17,21,15.5,7.4,43,50,7,8.7,34.1,26.9,3,4,"Good","Excellent","Yes","No","Yes","Strongly supports",4.7,"Yes - major barrier",51,11,4
"WGE-0331",2024-11-17,"Khagrachari","Khagrachari Sadar","School Student (Boy)",12,"Male","Marma","Government Secondary School","No","Yes","No","No",4,83.1,93.3,10,14,13.5,7,59,72,2,4.6,37.4,35.4,4,4,"Moderate","Excellent","No","No","Yes","Supports",3.8,"No barrier",54,14,3
"WGE-0332",2024-10-03,"Bandarban","Bandarban Sadar","School Student (Girl)",10,"Female","Marma","Government Primary School","Yes","Yes","No","No",2,78.6,90.1,18,19,33.3,28.4,26,35,4.1,5.7,32.3,26.6,4,4,"Moderate","Excellent","Yes","Yes","No","Strongly supports",2.5,"Yes - minor barrier",17,11,5
"WGE-0333",2024-10-21,"Bandarban","Ruma","School Student (Boy)",14,"Male","Marma","NGO-run School","Yes","Yes","Yes","Yes",3,66.9,73.3,13,15,24.5,19.4,28,38,3.2,5.9,41,35.7,3,3,"Poor","Poor","Yes","Yes","Yes","Strongly supports",2,"Yes - major barrier",86,12,3
