"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","education_level","household_size","monthly_income_bdt","years_in_programme","forest_land_managed_acres","tree_species_planted","seedlings_distributed","seedling_survival_rate_pct","biodiversity_index_baseline","biodiversity_index_endline","forest_cover_change","watershed_comanagement","ntfp_income_bdt","eco_enterprise_involved","sustainable_ag_practices","conservation_knowledge_baseline","conservation_knowledge_endline","attitude_conservation_baseline","attitude_conservation_endline","community_rules_exist","resource_conflict_12mo","satisfaction_forest_mgmt","satisfaction_score","training_received","climate_impact_on_biodiversity"
"BER-0100",2024-09-21,"Rangamati","Kaptai","Community Forest Management Group",38,"Female","Chakma","Secondary (Class 6-10)",5,15056,4,0.7,8,386,81.8,32,42,"Significantly increased","Not participating",526,"No",2,16,20,5,5,"No","No",2,2,"Yes","No impact observed"
"BER-0101",2024-11-11,"Bandarban","Thanchi","Youth Eco-Entrepreneur",32,"Female","Chakma","Primary (Class 1-5)",4,10198,3,9,13,329,60.5,48,62,"No change","Active",1930,"No",3,9,9,3,4,"No","No",4,4,"No","No impact observed"
"BER-0102",2024-11-17,"Khagrachari","Panchhari","Local NGO Representative",25,"Male","Chakma","Primary (Class 1-5)",5,13576,2,12.3,10,169,82.5,42,55,"No change","Active",3415,"No",2,17,20,2,5,"No","Yes",4,2,"Yes","Mild"
"BER-0103",2024-09-21,"Rangamati","Rajasthali","Local NGO Representative",46,"Female","Tanchangya","Secondary (Class 6-10)",4,10905,3,13.3,2,736,76.7,49,49,"No change","Not participating",1378,"No",3,17,18,4,4,"Yes","Yes",3,2,"No","Moderate"
"BER-0104",2024-10-02,"Khagrachari","Dighinala","Community Forest Management Group",35,"Female","Bengali","Primary (Class 1-5)",4,12561,3,6.8,7,118,92.8,38,43,"Moderately increased","Active",3206,"No",0,5,9,5,5,"Yes","No",3,5,"No","Mild"
"BER-0105",2024-10-15,"Bandarban","Naikhongchhari","Biodiversity Conservation Group (BCG)",36,"Female","Murung","SSC/Equivalent",7,14157,1,3.9,11,166,55.1,44,46,"Slightly decreased","Active",911,"Yes",5,11,15,3,3,"Yes","No",1,5,"Yes","Moderate"
"BER-0106",2024-09-09,"Khagrachari","Guimara","Community Leader/Headman",27,"Male","Tripura","Primary (Class 1-5)",6,13217,4,9,10,335,79.5,40,55,"No change","Active",4806,"No",2,14,16,3,4,"Yes","Yes",5,5,"Yes","Moderate"
"BER-0107",2024-09-17,"Khagrachari","Guimara","Youth Eco-Entrepreneur",46,"Male","Chakma","No formal education",5,10268,4,10.1,1,516,93.6,21,35,"Slightly decreased","Not participating",2857,"No",3,5,10,5,4,"Under development","Yes",4,4,"No","Moderate"
"BER-0108",2024-10-12,"Bandarban","Ruma","Community Leader/Headman",51,"Female","Bengali","Primary (Class 1-5)",5,9930,2,7.1,5,239,81.5,41,48,"Significantly increased","Not participating",4198,"No",3,13,14,3,3,"No","No",3,4,"Yes","Moderate"
"BER-0109",2024-10-12,"Bandarban","Bandarban Sadar","Biodiversity Conservation Group (BCG)",32,"Male","Chakma","SSC/Equivalent",3,9249,3,7.3,4,148,78.3,29,38,"Slightly decreased","Not participating",4886,"Yes",4,11,11,4,2,"Yes","Yes",5,4,"Yes","No impact observed"
"BER-0110",2024-10-01,"Khagrachari","Dighinala","Biodiversity Conservation Group (BCG)",57,"Male","Bawm","Secondary (Class 6-10)",4,13817,4,6.2,7,542,82,58,74,"Significantly decreased","Occasional",2160,"No",1,8,14,3,5,"No","No",4,3,"Yes","Severe"
"BER-0111",2024-10-25,"Khagrachari","Dighinala","Community Forest Management Group",34,"Male","Marma","SSC/Equivalent",7,14099,4,7.2,10,103,75.2,62,69,"No change","Not participating",3081,"Yes",4,10,14,3,4,"Yes","No",4,3,"Yes","Moderate"
"BER-0112",2024-11-11,"Rangamati","Barkal","Community Forest Management Group",36,"Male","Marma","SSC/Equivalent",5,8909,1,2,11,554,70.9,57,62,"Significantly increased","Active",4955,"No",3,8,13,3,5,"Yes","Yes",5,2,"Yes","Mild"
"BER-0113",2024-11-26,"Khagrachari","Dighinala","Community Leader/Headman",37,"Female","Tripura","No formal education",5,5593,1,2.8,9,329,88.7,27,30,"Moderately increased","Active",1638,"No",0,16,20,4,4,"Under development","Yes",5,5,"Yes","Mild"
"BER-0114",2024-10-22,"Khagrachari","Guimara","Biodiversity Conservation Group (BCG)",44,"Male","Marma","No formal education",4,17434,1,11.7,10,236,48,15,19,"Moderately increased","Occasional",2905,"Yes",2,13,15,5,4,"Yes","No",3,3,"Yes","Moderate"
"BER-0115",2024-09-06,"Rangamati","Belaichhari","Community Leader/Headman",56,"Male","Chak","No formal education",5,17084,3,4.5,7,180,75.8,41,53,"No change","Occasional",3097,"Yes",2,12,16,3,5,"Yes","Yes",5,4,"Yes","Mild"
"BER-0116",2024-10-31,"Rangamati","Belaichhari","Community Leader/Headman",39,"Female","Marma","Primary (Class 1-5)",5,15582,2,13.7,7,237,39.5,11,19,"No change","Active",2946,"No",3,6,10,4,4,"Under development","No",5,5,"No","Mild"
"BER-0117",2024-09-26,"Rangamati","Naniarchar","Local NGO Representative",38,"Female","Tanchangya","Secondary (Class 6-10)",2,6222,1,4.7,6,231,49.7,17,20,"Moderately increased","Active",3708,"No",4,12,15,5,4,"Yes","No",4,5,"No","Moderate"
"BER-0118",2024-10-11,"Bandarban","Bandarban Sadar","Community Forest Management Group",26,"Male","Lushai","Primary (Class 1-5)",3,11631,2,11.7,5,277,79.6,36,40,"Moderately increased","Active",3187,"No",3,5,8,2,5,"Yes","No",3,4,"Yes","Moderate"
"BER-0119",2024-09-22,"Bandarban","Thanchi","Biodiversity Conservation Group (BCG)",38,"Female","Marma","SSC/Equivalent",6,19532,3,4.2,8,115,86.4,32,34,"Slightly decreased","Active",4468,"No",2,9,12,5,4,"Yes","Yes",5,4,"No","No impact observed"
"BER-0120",2024-10-17,"Rangamati","Naniarchar","Local NGO Representative",33,"Female","Chakma","No formal education",7,18942,2,14.4,6,267,80.1,40,50,"Slightly decreased","Occasional",2557,"No",1,14,17,2,5,"Yes","Yes",4,3,"Yes","Moderate"
"BER-0121",2024-10-20,"Khagrachari","Khagrachari Sadar","Community Forest Management Group",46,"Male","Marma","Secondary (Class 6-10)",4,3500,4,9.6,8,458,75.9,10,17,"Slightly decreased","Not participating",4901,"No",2,6,9,3,4,"No","No",4,4,"Yes","Moderate"
"BER-0122",2024-10-05,"Bandarban","Thanchi","Youth Eco-Entrepreneur",49,"Male","Chak","No formal education",7,7102,2,12,4,174,73.2,29,30,"Moderately increased","Active",4725,"Yes",3,10,12,4,2,"Yes","No",4,2,"Yes","No impact observed"
"BER-0123",2024-10-19,"Khagrachari","Khagrachari Sadar","Biodiversity Conservation Group (BCG)",31,"Male","Chak","Primary (Class 1-5)",4,11421,3,9.9,3,183,83.4,42,50,"Significantly increased","Active",3980,"No",1,15,20,4,4,"No","Yes",4,3,"Yes","Moderate"
"BER-0124",2024-11-23,"Bandarban","Rowangchhari","Community Forest Management Group",39,"Male","Bengali","SSC/Equivalent",5,20640,2,8.2,14,458,60.4,50,59,"Significantly increased","Occasional",1012,"No",3,17,20,3,4,"Yes","No",4,5,"No","Severe"
"BER-0125",2024-11-01,"Bandarban","Ruma","Community Forest Management Group",34,"Male","Khumi","Graduate and above",3,15853,2,5.9,6,211,74.1,37,44,"Moderately increased","Active",3291,"Yes",3,7,11,4,4,"Yes","Yes",5,4,"Yes","Mild"
"BER-0126",2024-10-20,"Bandarban","Ruma","Community Forest Management Group",30,"Male","Marma","SSC/Equivalent",3,16072,4,6.6,6,184,85.2,70,78,"Significantly increased","Not participating",3942,"No",3,12,15,2,2,"Under development","No",3,4,"Yes","Moderate"
"BER-0127",2024-09-25,"Khagrachari","Dighinala","Biodiversity Conservation Group (BCG)",48,"Male","Chakma","HSC/Equivalent",5,17009,2,9.4,4,470,71.1,59,66,"Moderately increased","Not participating",3566,"No",1,10,12,2,3,"No","Yes",4,2,"Yes","Moderate"
"BER-0128",2024-11-07,"Khagrachari","Panchhari","Biodiversity Conservation Group (BCG)",56,"Male","Marma","Primary (Class 1-5)",2,15190,4,14.7,5,449,61.7,60,72,"Moderately increased","Occasional",3532,"Yes",1,15,19,2,5,"Under development","No",4,4,"Yes","No impact observed"
"BER-0129",2024-10-31,"Rangamati","Belaichhari","Community Forest Management Group",37,"Male","Tripura","Primary (Class 1-5)",4,17094,3,9.5,9,263,62.7,30,33,"Moderately increased","Active",1519,"Yes",1,16,20,4,5,"Yes","No",4,4,"Yes","Mild"
"BER-0130",2024-10-26,"Khagrachari","Khagrachari Sadar","Biodiversity Conservation Group (BCG)",49,"Male","Marma","No formal education",3,12314,4,15.8,8,277,75.8,49,66,"No change","Active",2762,"No",0,6,12,3,5,"Yes","Yes",5,2,"Yes","Mild"
"BER-0131",2024-09-17,"Rangamati","Kaptai","Youth Eco-Entrepreneur",26,"Male","Marma","Primary (Class 1-5)",6,14633,3,10.5,8,122,69.9,48,53,"Significantly increased","Not participating",1126,"No",1,8,13,4,4,"Under development","Yes",3,4,"Yes","Severe"
"BER-0132",2024-11-24,"Bandarban","Ruma","Biodiversity Conservation Group (BCG)",54,"Female","Chak","Secondary (Class 6-10)",4,17521,3,6.4,10,376,85.8,58,68,"Slightly decreased","Active",2063,"Yes",2,13,19,4,3,"No","No",5,4,"Yes","Severe"
"BER-0133",2024-09-22,"Rangamati","Baghaichhari","Youth Eco-Entrepreneur",42,"Female","Lushai","Secondary (Class 6-10)",7,18180,3,8.4,9,299,90.4,44,60,"Significantly increased","Not participating",4180,"Yes",1,17,20,5,4,"Yes","No",4,4,"Yes","Moderate"
"BER-0134",2024-10-22,"Bandarban","Ruma","Youth Eco-Entrepreneur",41,"Female","Chakma","Primary (Class 1-5)",5,12116,2,12.2,2,540,57.6,48,54,"Moderately increased","Occasional",3303,"No",2,10,13,4,5,"Under development","Yes",5,2,"Yes","Mild"
"BER-0135",2024-10-20,"Rangamati","Rajasthali","Forest Department Staff",34,"Female","Chakma","No formal education",5,11871,4,8.2,13,187,64.8,43,55,"Moderately increased","Active",4972,"Yes",4,5,6,1,1,"Under development","No",3,3,"No","Severe"
"BER-0136",2024-11-19,"Bandarban","Rowangchhari","Community Leader/Headman",44,"Male","Chakma","No formal education",6,10574,3,11.1,8,453,96.1,22,38,"Moderately increased","Not participating",4988,"No",1,18,20,4,4,"No","No",3,4,"No","Mild"
"BER-0137",2024-09-12,"Khagrachari","Panchhari","Youth Eco-Entrepreneur",31,"Female","Marma","No formal education",3,11540,1,12.7,7,291,67.4,39,42,"Slightly decreased","Occasional",488,"No",2,10,13,4,2,"No","No",5,4,"Yes","Moderate"
"BER-0138",2024-09-30,"Rangamati","Kaptai","Youth Eco-Entrepreneur",49,"Female","Murung","Primary (Class 1-5)",5,7357,2,3.9,4,231,60.5,39,47,"No change","Not participating",4835,"No",5,14,19,3,5,"Under development","No",4,5,"Yes","Mild"
"BER-0139",2024-10-11,"Rangamati","Belaichhari","Community Forest Management Group",19,"Male","Tripura","Primary (Class 1-5)",6,11445,3,7.9,7,273,86.5,38,56,"Significantly decreased","Active",2640,"No",0,13,18,5,5,"Yes","No",5,5,"No","No impact observed"
"BER-0140",2024-11-25,"Khagrachari","Khagrachari Sadar","Community Forest Management Group",34,"Male","Chakma","SSC/Equivalent",6,14276,2,11,5,408,67.7,19,26,"Moderately increased","Not participating",3714,"Yes",5,5,10,4,4,"Yes","Yes",4,5,"Yes","No impact observed"
"BER-0141",2024-09-25,"Bandarban","Bandarban Sadar","Community Forest Management Group",26,"Male","Chakma","Secondary (Class 6-10)",6,15084,2,2.2,8,189,84.1,19,28,"Significantly increased","Occasional",4695,"No",2,7,9,5,5,"Yes","No",5,4,"Yes","Mild"
"BER-0142",2024-10-07,"Khagrachari","Dighinala","Forest Department Staff",33,"Male","Chakma","Secondary (Class 6-10)",4,9070,3,17.1,2,405,86.7,29,41,"Slightly decreased","Active",1807,"Yes",3,16,19,2,4,"Yes","No",5,4,"Yes","Mild"
"BER-0143",2024-10-08,"Rangamati","Naniarchar","Community Forest Management Group",33,"Male","Tripura","Secondary (Class 6-10)",4,3613,3,9.7,8,309,85.1,20,34,"Moderately increased","Active",4313,"No",3,11,15,3,2,"Yes","No",4,5,"Yes","No impact observed"
"BER-0144",2024-09-29,"Khagrachari","Panchhari","Biodiversity Conservation Group (BCG)",32,"Male","Chakma","Secondary (Class 6-10)",3,7062,3,5.9,9,67,55.7,59,71,"Moderately increased","Occasional",1191,"No",4,12,15,1,5,"Yes","No",5,3,"No","Moderate"
"BER-0145",2024-10-16,"Rangamati","Kaptai","Biodiversity Conservation Group (BCG)",43,"Male","Chakma","Primary (Class 1-5)",2,17554,3,16.6,4,173,62.1,20,26,"Significantly increased","Active",3192,"Yes",4,7,12,4,3,"Yes","Yes",4,5,"No","Moderate"
"BER-0146",2024-11-27,"Bandarban","Thanchi","Biodiversity Conservation Group (BCG)",39,"Male","Marma","No formal education",5,10281,1,10.7,4,436,68.4,61,66,"Moderately increased","Not participating",1909,"No",2,17,20,2,4,"Yes","No",3,3,"No","Severe"
"BER-0147",2024-09-25,"Rangamati","Naniarchar","Youth Eco-Entrepreneur",38,"Male","Bawm","No formal education",5,18816,3,13.6,5,350,56.8,73,83,"No change","Active",1351,"No",0,8,12,4,5,"Yes","No",2,4,"Yes","Moderate"
"BER-0148",2024-11-01,"Rangamati","Naniarchar","Community Forest Management Group",34,"Male","Tripura","Secondary (Class 6-10)",5,14745,2,4.4,9,287,73,36,43,"Moderately increased","Occasional",600,"No",2,9,11,4,5,"No","No",1,5,"Yes","No impact observed"
"BER-0149",2024-11-08,"Rangamati","Barkal","Local NGO Representative",26,"Female","Tripura","Primary (Class 1-5)",5,16171,1,10.5,7,246,62,33,32,"Significantly decreased","Not participating",1876,"Yes",0,7,13,3,5,"No","Yes",4,5,"No","No impact observed"
"BER-0150",2024-10-30,"Khagrachari","Panchhari","Community Leader/Headman",31,"Female","Chakma","Secondary (Class 6-10)",5,16657,3,8.6,6,327,90.1,45,55,"Significantly decreased","Not participating",4812,"No",1,12,15,2,2,"No","No",4,1,"Yes","Moderate"
"BER-0151",2024-10-13,"Khagrachari","Panchhari","Community Leader/Headman",40,"Female","Chakma","Secondary (Class 6-10)",5,11474,1,8,9,561,92.6,49,52,"Moderately increased","Not participating",2798,"No",0,7,12,4,4,"Under development","No",4,5,"Yes","Severe"
"BER-0152",2024-11-03,"Khagrachari","Dighinala","Youth Eco-Entrepreneur",18,"Female","Tanchangya","HSC/Equivalent",4,14153,1,11,4,346,76.5,41,43,"No change","Not participating",2654,"Yes",4,5,10,3,4,"Yes","No",4,4,"Yes","Moderate"
"BER-0153",2024-10-16,"Rangamati","Barkal","Youth Eco-Entrepreneur",38,"Female","Tripura","Secondary (Class 6-10)",6,9385,4,13.3,5,351,64.1,55,63,"Moderately increased","Occasional",1826,"No",4,10,15,3,2,"Under development","No",3,3,"No","Moderate"
"BER-0154",2024-09-21,"Khagrachari","Khagrachari Sadar","Biodiversity Conservation Group (BCG)",49,"Female","Marma","Primary (Class 1-5)",4,14000,1,6.5,6,249,58.2,30,33,"No change","Active",1007,"No",1,2,7,4,3,"Yes","Yes",4,4,"Yes","Moderate"
"BER-0155",2024-09-20,"Khagrachari","Ramgarh","Biodiversity Conservation Group (BCG)",47,"Male","Chakma","Graduate and above",5,12226,3,8,8,231,65,38,50,"Moderately increased","Not participating",400,"Yes",3,10,11,4,4,"Yes","Yes",4,4,"Yes","Severe"
"BER-0156",2024-10-13,"Bandarban","Rowangchhari","Youth Eco-Entrepreneur",39,"Female","Marma","SSC/Equivalent",5,12444,2,12.3,5,375,66.8,58,64,"Moderately increased","Active",2604,"Yes",4,11,14,3,3,"Yes","No",3,4,"No","Moderate"
"BER-0157",2024-10-19,"Rangamati","Naniarchar","Local NGO Representative",22,"Female","Bawm","Primary (Class 1-5)",7,7502,2,6.3,5,50,61.9,56,58,"Moderately increased","Occasional",2690,"No",2,17,19,5,5,"Yes","No",3,4,"Yes","No impact observed"
"BER-0158",2024-11-26,"Rangamati","Belaichhari","Biodiversity Conservation Group (BCG)",41,"Male","Bengali","Primary (Class 1-5)",5,15931,2,10.7,9,285,81.1,19,22,"Significantly increased","Not participating",4206,"Yes",3,11,16,4,4,"Yes","No",5,5,"Yes","Moderate"
"BER-0159",2024-09-21,"Rangamati","Barkal","Community Forest Management Group",59,"Female","Chakma","No formal education",4,12805,4,0.5,6,192,70.1,18,28,"Slightly decreased","Occasional",4704,"No",2,7,9,3,5,"Yes","Yes",5,5,"Yes","Mild"
"BER-0160",2024-11-14,"Khagrachari","Khagrachari Sadar","Community Forest Management Group",61,"Male","Tanchangya","Secondary (Class 6-10)",2,11501,4,4.6,5,480,52.5,43,49,"Slightly decreased","Active",2908,"No",1,15,19,5,3,"Under development","No",1,3,"No","Severe"
"BER-0161",2024-11-13,"Rangamati","Kaptai","Youth Eco-Entrepreneur",35,"Male","Tanchangya","SSC/Equivalent",5,20394,1,5.7,6,366,69.4,52,54,"Moderately increased","Occasional",2626,"No",3,8,12,4,4,"No","No",5,4,"No","Moderate"
"BER-0162",2024-09-24,"Rangamati","Belaichhari","Biodiversity Conservation Group (BCG)",37,"Male","Marma","SSC/Equivalent",6,15418,1,9.5,7,317,63.8,17,21,"Moderately increased","Active",3634,"No",0,10,14,4,4,"Under development","Yes",3,5,"Yes","Severe"
"BER-0163",2024-10-26,"Khagrachari","Khagrachari Sadar","Biodiversity Conservation Group (BCG)",27,"Male","Lushai","HSC/Equivalent",3,13518,4,4.9,10,512,73.4,37,39,"Significantly increased","Occasional",1075,"Yes",1,14,17,4,2,"Yes","No",4,3,"Yes","Mild"
"BER-0164",2024-09-26,"Rangamati","Baghaichhari","Community Forest Management Group",44,"Female","Bawm","No formal education",5,12748,4,3.2,8,184,77.6,35,43,"Significantly increased","Not participating",3981,"No",4,10,15,1,4,"Under development","No",4,5,"Yes","Severe"
"BER-0165",2024-11-17,"Bandarban","Bandarban Sadar","Community Forest Management Group",27,"Female","Tanchangya","Secondary (Class 6-10)",3,4947,4,12.7,7,343,63.8,33,37,"Moderately increased","Active",3508,"No",2,11,17,4,4,"Yes","No",5,4,"Yes","Moderate"
"BER-0166",2024-10-23,"Khagrachari","Ramgarh","Community Forest Management Group",32,"Male","Tripura","Secondary (Class 6-10)",4,10982,4,18.1,5,328,53.1,51,62,"Moderately increased","Active",2601,"Yes",2,13,15,5,5,"No","Yes",2,4,"No","Moderate"
"BER-0167",2024-10-30,"Rangamati","Barkal","Community Leader/Headman",51,"Female","Tripura","No formal education",6,17832,2,15.3,4,326,93.7,27,36,"Moderately increased","Active",4776,"Yes",0,10,14,3,3,"Under development","No",3,4,"No","Mild"
"BER-0168",2024-09-28,"Rangamati","Naniarchar","Community Forest Management Group",49,"Male","Marma","Primary (Class 1-5)",5,11544,3,6.7,6,274,82.4,45,50,"No change","Occasional",3321,"No",3,4,5,1,3,"Yes","Yes",3,4,"No","Severe"
"BER-0169",2024-10-18,"Bandarban","Thanchi","Community Forest Management Group",50,"Male","Chak","Secondary (Class 6-10)",4,9909,1,5.5,6,445,79.7,47,49,"Moderately increased","Not participating",200,"No",2,15,18,3,5,"Yes","No",4,3,"Yes","Severe"
"BER-0170",2024-09-16,"Bandarban","Naikhongchhari","Community Forest Management Group",54,"Female","Chakma","No formal education",5,5812,2,12.6,6,287,61.5,20,23,"No change","Occasional",1577,"No",3,11,16,4,5,"No","No",3,4,"No","Severe"
"BER-0171",2024-11-13,"Bandarban","Bandarban Sadar","Community Leader/Headman",37,"Female","Tripura","Primary (Class 1-5)",4,17391,3,11.9,5,202,56,32,39,"No change","Not participating",4179,"No",2,8,14,4,1,"Yes","No",4,3,"Yes","Moderate"
"BER-0172",2024-09-11,"Bandarban","Thanchi","Biodiversity Conservation Group (BCG)",30,"Female","Marma","No formal education",6,8712,2,8.8,8,194,68.3,40,50,"Slightly decreased","Active",2997,"Yes",1,8,14,4,4,"Yes","Yes",5,4,"Yes","Moderate"
"BER-0173",2024-10-14,"Khagrachari","Ramgarh","Local NGO Representative",43,"Male","Tanchangya","Secondary (Class 6-10)",6,12054,3,2.2,5,206,62.4,10,18,"Moderately increased","Not participating",2726,"Yes",6,14,18,3,4,"Yes","Yes",5,4,"Yes","Mild"
"BER-0174",2024-11-22,"Khagrachari","Khagrachari Sadar","Forest Department Staff",42,"Male","Tripura","Primary (Class 1-5)",6,13294,4,0.7,12,262,68.9,42,52,"Significantly increased","Active",3121,"Yes",3,5,9,5,3,"No","Yes",3,5,"No","Moderate"
"BER-0175",2024-11-26,"Rangamati","Belaichhari","Community Forest Management Group",18,"Female","Chakma","Secondary (Class 6-10)",5,12997,3,6.1,9,240,65.6,39,51,"Significantly decreased","Occasional",2761,"Yes",2,12,17,3,5,"Yes","No",3,5,"Yes","Mild"
"BER-0176",2024-11-09,"Bandarban","Thanchi","Community Leader/Headman",41,"Female","Murung","HSC/Equivalent",4,10656,1,9.4,1,430,48.4,60,62,"Moderately increased","Active",3841,"No",3,7,9,2,3,"Yes","No",3,4,"Yes","Severe"
"BER-0177",2024-10-01,"Rangamati","Rajasthali","Youth Eco-Entrepreneur",40,"Male","Chakma","No formal education",6,12175,2,13.5,9,628,78.4,58,66,"Significantly increased","Active",2511,"Yes",2,7,10,3,3,"Under development","No",1,5,"No","Severe"
"BER-0178",2024-10-16,"Rangamati","Belaichhari","Youth Eco-Entrepreneur",68,"Male","Marma","HSC/Equivalent",6,10523,4,10.7,5,202,98,38,58,"Moderately increased","Occasional",4520,"No",3,8,12,5,3,"No","No",4,5,"Yes","Moderate"
"BER-0179",2024-11-02,"Khagrachari","Khagrachari Sadar","Community Forest Management Group",42,"Female","Chakma","Secondary (Class 6-10)",4,5023,1,9.7,6,522,61.4,59,60,"Significantly increased","Occasional",3356,"Yes",2,9,14,4,3,"No","No",4,3,"No","No impact observed"
"BER-0180",2024-09-21,"Bandarban","Naikhongchhari","Biodiversity Conservation Group (BCG)",41,"Male","Bengali","Secondary (Class 6-10)",5,10878,1,6.5,3,272,54,36,39,"Moderately increased","Active",4920,"Yes",3,16,18,3,3,"Yes","Yes",4,4,"Yes","Moderate"
"BER-0181",2024-11-26,"Khagrachari","Panchhari","Youth Eco-Entrepreneur",40,"Male","Tripura","SSC/Equivalent",5,11127,2,7.3,6,50,84.3,42,49,"No change","Occasional",5134,"Yes",2,13,19,4,4,"No","Yes",5,4,"No","Moderate"
"BER-0182",2024-10-17,"Khagrachari","Ramgarh","Biodiversity Conservation Group (BCG)",47,"Male","Marma","No formal education",4,14556,3,4.4,10,555,74.2,35,41,"Slightly decreased","Active",2846,"Yes",2,8,14,3,4,"No","No",5,1,"Yes","Moderate"
"BER-0183",2024-10-25,"Rangamati","Naniarchar","Biodiversity Conservation Group (BCG)",18,"Female","Lushai","Primary (Class 1-5)",6,18670,4,3,3,328,79.4,47,63,"Slightly decreased","Not participating",1391,"No",2,11,14,5,4,"Under development","Yes",3,1,"Yes","Moderate"
"BER-0184",2024-09-06,"Khagrachari","Dighinala","Community Forest Management Group",40,"Female","Chakma","SSC/Equivalent",5,11883,2,10,7,167,58.2,28,32,"Significantly increased","Active",3644,"No",2,5,10,5,2,"No","Yes",5,4,"Yes","Severe"
"BER-0185",2024-11-13,"Khagrachari","Khagrachari Sadar","Community Forest Management Group",54,"Male","Marma","SSC/Equivalent",4,12784,2,4.4,7,490,82.8,57,64,"Significantly increased","Active",2874,"Yes",3,8,13,3,3,"Under development","No",5,4,"Yes","Severe"
"BER-0186",2024-11-01,"Khagrachari","Guimara","Community Leader/Headman",46,"Male","Chakma","Primary (Class 1-5)",6,5268,4,16.9,10,367,59.5,24,39,"Moderately increased","Active",3690,"Yes",2,18,20,4,4,"Yes","No",4,5,"Yes","No impact observed"
"BER-0187",2024-11-26,"Bandarban","Thanchi","Community Forest Management Group",37,"Male","Tripura","Primary (Class 1-5)",6,11495,4,12,7,278,71.6,16,27,"Significantly increased","Active",3039,"Yes",4,8,14,3,3,"Under development","Yes",4,5,"Yes","Mild"
"BER-0188",2024-09-07,"Khagrachari","Ramgarh","Forest Department Staff",39,"Female","Chakma","Secondary (Class 6-10)",6,12076,4,13.4,4,253,83.5,51,60,"No change","Occasional",2394,"No",1,9,11,2,5,"Yes","No",2,4,"No","Mild"
"BER-0189",2024-11-17,"Rangamati","Baghaichhari","Community Forest Management Group",54,"Male","Chakma","SSC/Equivalent",6,12517,4,13.9,7,548,79.4,40,57,"Moderately increased","Active",3934,"Yes",6,5,8,3,4,"Yes","No",3,4,"No","Severe"
"BER-0190",2024-11-13,"Rangamati","Naniarchar","Biodiversity Conservation Group (BCG)",41,"Male","Bawm","SSC/Equivalent",7,14492,1,7.9,6,413,71.2,43,47,"Significantly increased","Active",2933,"Yes",5,11,15,3,3,"Yes","No",5,5,"No","Severe"
"BER-0191",2024-10-28,"Rangamati","Belaichhari","Community Forest Management Group",42,"Male","Bawm","No formal education",5,20170,2,11.8,3,209,98,30,35,"Significantly increased","Active",2087,"No",1,14,16,5,1,"Under development","No",2,3,"No","Mild"
"BER-0192",2024-11-26,"Khagrachari","Guimara","Biodiversity Conservation Group (BCG)",41,"Female","Tanchangya","No formal education",5,14489,1,17.5,10,385,39.9,44,46,"Moderately increased","Not participating",2202,"No",3,13,17,4,5,"No","No",3,5,"Yes","Moderate"
"BER-0193",2024-11-13,"Rangamati","Naniarchar","Forest Department Staff",53,"Male","Chakma","Graduate and above",5,15338,3,14.8,9,149,81.1,53,63,"Significantly increased","Occasional",3353,"No",0,10,12,4,3,"Yes","No",4,4,"Yes","Severe"
"BER-0194",2024-11-03,"Bandarban","Ruma","Forest Department Staff",45,"Male","Chakma","Primary (Class 1-5)",6,14773,3,8,8,502,65.9,31,38,"Slightly decreased","Active",2307,"Yes",2,7,10,4,4,"No","No",3,5,"Yes","Moderate"
"BER-0195",2024-11-27,"Rangamati","Naniarchar","Community Forest Management Group",30,"Female","Khumi","SSC/Equivalent",5,15318,1,9.2,10,395,55.5,35,39,"Moderately increased","Active",2101,"Yes",4,10,15,3,3,"Yes","Yes",4,2,"Yes","Mild"
"BER-0196",2024-10-22,"Khagrachari","Dighinala","Biodiversity Conservation Group (BCG)",48,"Female","Tripura","Primary (Class 1-5)",6,13303,4,6.9,9,192,83.3,75,91,"Moderately increased","Active",3751,"Yes",5,12,14,2,5,"Under development","No",5,3,"No","Severe"
"BER-0197",2024-10-27,"Rangamati","Baghaichhari","Biodiversity Conservation Group (BCG)",28,"Female","Tripura","HSC/Equivalent",6,9169,2,15.3,10,266,75.4,35,37,"No change","Active",3431,"Yes",3,3,9,4,4,"No","Yes",4,4,"Yes","Mild"
"BER-0198",2024-10-19,"Rangamati","Belaichhari","Forest Department Staff",54,"Male","Murung","No formal education",2,7217,3,4.6,10,288,85.8,34,46,"No change","Active",4096,"No",3,12,15,3,4,"Under development","No",3,3,"Yes","Moderate"
"BER-0199",2024-11-11,"Bandarban","Bandarban Sadar","Forest Department Staff",50,"Female","Marma","Secondary (Class 6-10)",4,15097,3,4.3,3,97,71.2,52,60,"Significantly increased","Occasional",3129,"Yes",2,8,15,3,3,"Yes","No",5,4,"Yes","Moderate"
"BER-0200",2024-10-12,"Rangamati","Kaptai","Biodiversity Conservation Group (BCG)",45,"Female","Tripura","No formal education",5,16429,2,6.6,6,50,64.5,67,76,"Moderately increased","Occasional",2185,"No",0,14,19,4,2,"Yes","No",4,3,"No","Moderate"
"BER-0201",2024-10-08,"Khagrachari","Khagrachari Sadar","Community Forest Management Group",45,"Male","Marma","Primary (Class 1-5)",5,12652,3,5.9,8,328,73.5,56,65,"Moderately increased","Active",2484,"Yes",1,10,11,3,4,"No","No",3,5,"No","Moderate"
